# x_path held_b1_THz held_b2_THz held_b3_THz
9.0030330370 14.7050017390 14.7050017390 17.9606637705
9.0409786303 14.4084553479 14.4084553479 18.0869308715
9.0789242237 14.0892076150 14.0892076150 18.2018172976
9.1168698171 13.7486846917 13.7486846917 18.3046642481
9.1548154105 13.3888881795 13.3888881795 18.3951287004
9.1927610039 13.0124713909 13.0124713909 18.4731895534
9.2307065973 12.6228271657 12.6228271657 18.5391496739
9.2686521907 12.2241872537 12.2241872537 18.5936337152
9.3065977841 11.8217309406 11.8217309406 18.6375814602
9.3445433775 11.4216963413 11.4216963413 18.6722363280
9.3824889709 11.0314807318 11.0314807318 18.6991286089
9.4204345643 10.6597056222 10.6597056222 18.7200529436
9.4583801577 10.3162080499 10.3162080499 18.7370395763
9.4963257511 10.0119042332 10.0119042332 18.7523189850
9.5342713445 9.7584622158 9.7584622158 18.7682796528
9.5722169379 9.5677292914 9.5677292914 18.7874189999
9.6101625313 9.4509033772 9.4509033772 18.8122878439
9.6481081247 9.4175215532 9.4175215532 18.8454292067
9.6860537180 9.4744427558 9.4744427558 18.8893127893
9.7239993114 9.6250699787 9.6250699787 18.9462669792
9.7619449048 9.8690292661 9.8690292661 19.0184107475
9.7998904982 10.2023874632 10.2023874632 19.1075881901
9.8378360916 10.6183145169 10.6183145169 19.2153086728
9.8757816850 11.1079765318 11.1079765318 19.3426955079
9.9137272784 11.6614332033 11.6614332033 19.4904457816
9.9516728718 12.2683835854 12.2683835854 19.6588033758
9.9896184652 12.9186976831 12.9186976831 19.8475464372
10.0275640586 13.6027426121 13.6027426121 20.0559896320
10.0655096520 14.3115474467 14.3115474467 20.2830005922
10.1034552454 15.0368581216 15.0368581216 20.5270291279
10.1414008388 15.7711262292 15.7711262292 20.7861471316
10.1793464322 16.5074634964 16.5074634964 21.0580966986
10.2172920256 17.2395825102 17.2395825102 21.3403438359
10.2552376190 17.9617357561 17.9617357561 21.6301352153
10.2931832123 18.6686592987 18.6686592987 21.9245556910
10.3311288057 19.3555238809 19.3555238809 22.2205846756
10.3690743991 20.0178941760 20.0178941760 22.5151499086
10.4070199925 20.6516958488 20.6516958488 22.8051775775
10.4449655859 21.2531895796 21.2531895796 23.0876381479
10.4829111793 21.8189510309 21.8189510309 23.3595875892
10.5208567727 22.3458557347 22.3458557347 23.6182039391
10.5588023661 22.8310679625 22.8310679625 23.8608193375
10.5967479595 23.2720327514 23.2720327514 24.0849477817
10.6346935529 23.6664703861 23.6664703861 24.2883089247
10.6726391463 24.0123727469 24.0123727469 24.4688482646
10.7105847397 24.3080010414 24.3080010414 24.6247540749
10.7485303331 24.5518845248 24.5518845248 24.7544713972
10.7864759265 24.7428198921 24.7428198921 24.8567133887
10.8244215199 24.8798710919 24.8798710919 24.9304702708
10.8623671133 24.9623693690 24.9623693690 24.9750160823
10.9003127067 24.9899133920 24.9899133920 24.9899133920
