run,scf_iteration,mixing_beta,energy_ry,estimated_scf_accuracy_ry,mx_muB_cell,my_muB_cell,mz_muB_cell,net_magnetization_muB_cell,absolute_magnetization_muB_cell,absolute_magnetization_muB_atom
try2,60,0.01,-42116.39073582,1.96196303,0.72,0.1,0.63,0.9619251530134764,43.95,0.343359375
try2,61,0.01,-42116.35320671,2.05488438,0.01,0.79,-0.57,0.9742176348229383,45.36,0.354375
try2,62,0.01,-42116.57452287,1.88685822,0.46,-0.24,1.24,1.3441726079637242,43.08,0.3365625
try2,63,0.01,-42116.87792609,2.06013351,-0.24,0.08,1.54,1.5606408939919523,45.0,0.3515625
try2,64,0.01,-42115.90259258,2.2011427,-1.58,0.51,0.33,1.6927492430953854,46.09,0.360078125
try2,65,0.01,-42116.59345609,1.83519003,0.38,0.17,0.61,0.7385120175054702,42.75,0.333984375
try2,66,0.01,-42116.62667611,1.89501854,0.37,0.08,-0.77,0.8580209787645054,42.7,0.33359375
try2,67,0.01,-42116.81713082,1.88635257,0.37,0.25,-1.78,1.8351566690612549,43.5,0.33984375
try2,68,0.01,-42116.88307031,2.21260381,1.24,0.18,-2.17,2.5057733337235435,45.02,0.35171875
try2,69,0.01,-42116.87215156,2.14437968,0.86,0.08,-1.67,1.8801329740207207,44.6,0.3484375
try2,70,0.01,-42116.91556255,2.18544771,1.69,-0.71,-0.92,2.0509997562164655,45.39,0.354609375
try2,71,0.01,-42116.77404965,2.28445099,1.79,-0.09,-0.8,1.962702218880898,45.42,0.35484375
try2,72,0.01,-42116.55922654,2.15312492,1.08,-0.38,0.07,1.1470396680150168,45.03,0.351796875
try2,73,0.01,-42116.67305434,2.03485029,1.55,0.2,-0.73,1.7249347813758062,42.7,0.33359375
try2,74,0.01,-42116.44447687,2.13712788,0.93,0.75,0.45,1.2766753698571929,44.4,0.346875
try2,75,0.01,-42116.49878467,1.92024653,1.21,0.24,1.74,2.1329088119279738,41.18,0.32171875
try2,76,0.01,-42116.42995239,2.28111172,0.38,1.3,-5.32,5.489699445324853,44.13,0.344765625
try2,77,0.01,-42115.97364139,2.30816366,0.32,-1.13,-2.03,2.345250519667355,45.45,0.355078125
try2,78,0.01,-42115.85447307,1.95935936,1.17,-1.61,2.09,2.886018017961773,42.98,0.33578125
try2,79,0.01,-42116.52263656,2.25176813,1.92,0.53,0.26,2.008706051168264,43.42,0.33921875
try2,80,0.01,-42115.97518419,1.82443776,1.51,0.02,1.62,2.2147008827378927,40.32,0.315
try2,81,0.01,-42121.22105395,4.5515291,0.76,0.98,-3.16,3.394642838355753,51.51,0.402421875
try2,82,0.01,-42120.38892042,4.37388599,1.58,2.14,-4.88,5.5579132774810365,49.37,0.385703125
try2,83,0.01,-42120.26909643,4.27575959,1.59,0.76,-2.76,3.2746450189295326,48.67,0.380234375
try2,84,0.01,-42118.578359,4.94083624,0.62,0.96,-3.29,3.482829309627447,54.35,0.424609375
try2,85,0.01,-42118.86453309,5.03550112,-1.45,3.47,-11.05,11.6724419039034,52.55,0.410546875
try2,86,0.01,-42118.65433214,4.2272641,-0.29,2.58,-8.56,8.94506008923361,48.67,0.380234375
