phase,magnetic_state,source,path,natoms,total_frames,valid_frames,volume_per_atom_A3,target_temperature_K,mean_temperature_K,min_temperature_K,max_temperature_K,mean_pressure_GPa,min_pressure_GPa,max_pressure_GPa,mean_energy_eV_atom,min_energy_eV_atom,max_energy_eV_atom,mean_force_rms_eV_A,mean_displacement_rms_A,mean_abs_magnetization_Bohr_atom
BCC,non-magnetic,2.39_6000K,dataset/bcc/non-mag/2.39_6000K.npz,128,400,399,6.825980185101718,6000.0,5595.469498942669,3085.88720703125,7134.9130859375,329.08689218774475,296.114990234375,337.6230163574219,-4476.521798769283,-4476.978009855758,-4476.368671207133,4.599521218593267,0.3849742834534454,0.0
BCC,non-magnetic,2.40_4000K,dataset/bcc/non-mag/2.40_4000K.npz,128,400,399,6.912033380425209,4000.0,3899.6044524152176,2424.3935546875,4653.6171875,298.3665314103129,278.9200134277344,304.1000061035156,-4476.98631293096,-4477.1367450908465,-4476.866390786914,3.6479336940242626,0.36332445933537993,0.0
BCC,non-magnetic,2.40_4500K,dataset/bcc/non-mag/2.40_4500K.npz,128,400,399,6.912033380425209,4500.0,4208.282958984375,2735.931884765625,5534.71142578125,301.2482669992853,278.5679931640625,308.3800048828125,-4476.917078401041,-4477.136795209755,-4476.7797167155795,3.7154742668139304,0.3659415377239081,0.0
BCC,non-magnetic,2.40_5000K-disp,dataset/bcc/non-mag/2.40_5000K-disp.npz,128,400,399,6.912033380425209,5000.0,5306.751286174421,4352.498046875,10646.2783203125,308.16292807213347,301.8999938964844,361.69000244140625,-4476.779341348871,-4476.911729384248,-4475.666337195041,4.524546646500794,0.4693904036910785,0.0
BCC,non-magnetic,2.40_5000K,dataset/bcc/non-mag/2.40_5000K.npz,128,400,399,6.912033380425209,5000.0,4668.291826979558,2467.444091796875,5751.72412109375,304.2700837787829,277.5350036621094,311.385009765625,-4476.8503882193645,-4477.136564216976,-4476.741146672027,4.083304480432237,0.3460324312869943,0.0
BCC,non-magnetic,2.40_5500K,dataset/bcc/non-mag/2.40_5500K.npz,128,400,399,6.912033380425209,5500.0,5001.911964971021,2680.362548828125,6164.65673828125,306.49290516023945,278.75,315.0810241699219,-4476.813727107401,-4477.135588473009,-4476.615103722258,4.289321593984048,0.39321406131102893,0.0
BCC,non-magnetic,2.40_6000K,dataset/bcc/non-mag/2.40_6000K.npz,128,400,399,6.912033380425209,6000.0,5638.621209395559,2840.541259765625,7135.33251953125,311.62462805267563,278.9519958496094,318.89801025390625,-4476.688625500683,-4477.135494918988,-4476.544097005028,4.490549865635598,0.3583053815215175,0.0
BCC,non-magnetic,2.41_4000K,dataset/bcc/non-mag/2.41_4000K.npz,128,400,399,6.9988067856203955,4000.0,3735.8413122650377,2353.03759765625,4597.39599609375,281.53403658376897,263.3570251464844,290.22900390625,-4477.153084592217,-4477.289283625808,-4476.985593629712,3.4826977422958625,0.3779096086395683,0.0
BCC,non-magnetic,2.41_4500K,dataset/bcc/non-mag/2.41_4500K.npz,128,400,399,6.9988067856203955,4500.0,4316.320412848528,2396.8037109375,5102.453125,285.04078517521833,262.0610046386719,292.7740173339844,-4477.079732904969,-4477.288697714709,-4476.917267519937,3.877121924155667,0.3805669126118885,0.0
BCC,non-magnetic,2.41_5000K,dataset/bcc/non-mag/2.41_5000K.npz,128,400,399,6.9988067856203955,5000.0,4843.370424351895,2793.664306640625,6036.4228515625,289.270833639274,261.9350280761719,293.8810119628906,-4476.989920880158,-4477.288602821378,-4476.910373528044,4.0918522147096885,0.3895996217673239,0.0
BCC,non-magnetic,2.41_5500K,dataset/bcc/non-mag/2.41_5500K.npz,128,400,399,6.9988067856203955,5500.0,5195.069949654409,3440.671142578125,6143.70166015625,292.5886102738536,262.2760009765625,298.7669982910156,-4476.904899997769,-4477.288693319432,-4476.796597251063,4.193924702582208,0.3686412620385281,0.0
BCC,non-magnetic,2.41_6000K,dataset/bcc/non-mag/2.41_6000K.npz,128,400,399,6.9988067856203955,6000.0,5680.346430651824,3455.825927734375,7038.39892578125,296.5840083913397,262.5459899902344,305.2550048828125,-4476.829266788866,-4477.288859876499,-4476.660825935294,4.397396886691103,0.40651502927559285,0.0
BCC,non-magnetic,2.42_4000K,dataset/bcc/non-mag/2.42_4000K.npz,128,400,399,7.086187186724503,4000.0,3727.051915371926,1995.74609375,4589.05712890625,266.7959754198117,247.9449920654297,273.5870056152344,-4477.2764028091015,-4477.431616857832,-4477.131607480186,3.4379028204346236,0.3678352226539861,0.0
BCC,non-magnetic,2.42_4500K,dataset/bcc/non-mag/2.42_4500K.npz,128,254,253,7.086187186724503,4500.0,4199.526980916502,2519.361083984375,5143.36962890625,270.8339036180097,248.1439971923828,278.16400146484375,-4477.184918697163,-4477.431569716231,-4477.076987892234,3.559292390174276,0.38181312396347084,0.0
BCC,non-magnetic,2.42_5000K,dataset/bcc/non-mag/2.42_5000K.npz,128,400,399,7.086187186724503,5000.0,4671.535203976739,2920.494140625,5930.43701171875,273.6000440019115,246.57400512695312,278.97100830078125,-4477.132520507195,-4477.431594940973,-4477.044820942917,3.8431395919399183,0.3897660202947988,0.0
BCC,non-magnetic,2.42_5500K,dataset/bcc/non-mag/2.42_5500K.npz,128,400,399,7.086187186724503,5500.0,5212.381634628564,3101.53759765625,6345.46337890625,277.97304093210323,247.45901489257812,285.96600341796875,-4477.035594643933,-4477.431089462904,-4476.868913067683,4.079506088227482,0.3995843988969738,0.0
BCC,non-magnetic,2.42_6000K,dataset/bcc/non-mag/2.42_6000K.npz,128,400,399,7.086187186724503,6000.0,5440.398175002937,3544.554443359375,6673.3896484375,279.39601341763836,248.2689971923828,288.2120056152344,-4477.012778505115,-4477.431056468036,-4476.850868742675,4.305203404787421,0.4008723092468438,0.0
BCC,non-magnetic,2.43_4000K,dataset/bcc/non-mag/2.43_4000K.npz,128,400,399,7.174409052995837,4000.0,3702.8850342408755,1907.68701171875,4492.42236328125,252.94435712388884,231.72801208496094,260.7760009765625,-4477.392364771189,-4477.56881615911,-4477.250147427047,3.3270510035838377,0.3672941760496521,0.0
BCC,non-magnetic,2.43_4500K,dataset/bcc/non-mag/2.43_4500K.npz,128,400,399,7.174409052995837,4500.0,4275.485302000117,2499.246826171875,5082.09423828125,256.3962845192816,233.6540069580078,261.2439880371094,-4477.317508341099,-4477.568692715082,-4477.239329006938,3.6267148824188014,0.35883431549655426,0.0
BCC,non-magnetic,2.43_5000K,dataset/bcc/non-mag/2.43_5000K.npz,128,400,399,7.174409052995837,5000.0,4765.728134422971,2305.361083984375,5595.06982421875,259.56302885662643,233.3520050048828,264.125,-4477.2566474273235,-4477.568563636384,-4477.1693933171055,3.894944258247152,0.3721746364848933,0.0
