phase,magnetic_state,category,source,path,natoms,total_frames,valid_frames,invalid_frames,valid_fraction,finite_energy_fraction,finite_temperature_fraction,finite_pressure_fraction,finite_force_fraction,finite_position_fraction,force_outlier_frames,force_outlier_fraction,force_outlier_threshold_eV_A,median_force_rms_eV_A,target_temperature_K,median_temperature_K,median_temperature_deviation_K,pressure_min_GPa,pressure_median_GPa,pressure_max_GPa,volume_per_atom_A3
BCC,non-magnetic,BCC nonmagnetic,2.37_4000K,dataset/bcc/non-mag/2.37_4000K.npz,128,400,399,1,0.9975,0.9975,1.0,0.9975,0.9975,1.0,0,0.0,5.122263012383985,3.875565751008552,4000.0,3921.093505859375,-78.906494140625,331.60400390625,351.05902099609375,355.54400634765625,6.656022418851627
BCC,non-magnetic,BCC nonmagnetic,2.37_4500K,dataset/bcc/non-mag/2.37_4500K.npz,128,400,399,1,0.9975,0.9975,1.0,0.9975,0.9975,1.0,0,0.0,5.497199429739232,4.1088601113124295,4500.0,4251.7138671875,-248.2861328125,331.4880065917969,353.8470153808594,360.81298828125,6.656022418851627
BCC,non-magnetic,BCC nonmagnetic,2.37_5000K,dataset/bcc/non-mag/2.37_5000K.npz,128,400,399,1,0.9975,0.9975,1.0,0.9975,0.9975,1.0,0,0.0,5.424494357573468,4.389688941396363,5000.0,4608.3173828125,-391.6826171875,331.40802001953125,356.0840148925781,364.3949890136719,6.656022418851627
BCC,non-magnetic,BCC nonmagnetic,2.37_5500K,dataset/bcc/non-mag/2.37_5500K.npz,128,400,399,1,0.9975,0.9975,1.0,0.9975,0.9975,1.0,0,0.0,5.973455963041093,4.523284139584927,5500.0,5166.26806640625,-333.73193359375,331.66900634765625,360.42401123046875,365.3429870605469,6.656022418851627
BCC,non-magnetic,BCC nonmagnetic,2.37_6000K,dataset/bcc/non-mag/2.37_6000K.npz,128,400,399,1,0.9975,0.9975,1.0,0.9975,0.9975,1.0,0,0.0,5.8833274041557,4.795799571293332,6000.0,5525.3271484375,-474.6728515625,331.1080017089844,362.58001708984375,370.2270202636719,6.656022418851627
BCC,non-magnetic,BCC nonmagnetic,2.38_4000K,dataset/bcc/non-mag/2.38_4000K.npz,128,400,399,1,0.9975,0.9975,1.0,0.9975,0.9975,1.0,0,0.0,4.801407246291227,3.8055743430459246,4000.0,3909.697265625,-90.302734375,312.5760192871094,333.5409851074219,338.3600158691406,6.740644198345366
BCC,non-magnetic,BCC nonmagnetic,2.38_4500K,dataset/bcc/non-mag/2.38_4500K.npz,128,400,399,1,0.9975,0.9975,1.0,0.9975,0.9975,1.0,0,0.0,5.2089417789980805,4.017415053064011,4500.0,4417.1123046875,-82.8876953125,312.9259948730469,336.1759948730469,342.7080078125,6.740644198345366
BCC,non-magnetic,BCC nonmagnetic,2.38_5000K,dataset/bcc/non-mag/2.38_5000K.npz,128,400,399,1,0.9975,0.9975,1.0,0.9975,0.9975,1.0,0,0.0,5.892223816709144,4.312644908823144,5000.0,4923.67529296875,-76.32470703125,311.375,340.6940002441406,346.24700927734375,6.740644198345366
BCC,non-magnetic,BCC nonmagnetic,2.38_5500K,dataset/bcc/non-mag/2.38_5500K.npz,128,400,399,1,0.9975,0.9975,1.0,0.9975,0.9975,1.0,0,0.0,5.644199731220833,4.5534308357968545,5500.0,5410.6533203125,-89.3466796875,313.4120178222656,344.9330139160156,350.7900085449219,6.740644198345366
BCC,non-magnetic,BCC nonmagnetic,2.38_6000K,dataset/bcc/non-mag/2.38_6000K.npz,128,400,399,1,0.9975,0.9975,1.0,0.9975,0.9975,1.0,0,0.0,6.021568153647253,4.602312933139681,6000.0,5668.228515625,-331.771484375,313.3919982910156,346.63702392578125,353.98101806640625,6.740644198345366
