# segment point distance q1 q2 q3 frequency_1_THz frequency_2_THz frequency_3_THz
1.0000000000 47.0000000000 0.5818079517 0.2650000000 -0.2650000000 0.5000000000 13.9287568462 15.8589179605 18.9476679022
1.0000000000 48.0000000000 0.5848957543 0.2600000000 -0.2600000000 0.5000000000 13.7487009260 15.7518082208 19.0189273272
1.0000000000 49.0000000000 0.5879835569 0.2550000000 -0.2550000000 0.5000000000 13.5646956514 15.6418779559 19.0926948506
1.0000000000 50.0000000000 0.5910713595 0.2500000000 -0.2500000000 0.5000000000 13.3767580412 15.5291685359 19.1688808115
1.0000000000 51.0000000000 0.5941591620 0.2450000000 -0.2450000000 0.5000000000 13.1849076064 15.4137286440 19.2473856386
1.0000000000 52.0000000000 0.5972469646 0.2400000000 -0.2400000000 0.5000000000 12.9891664085 15.2956145355 19.3281002214
1.0000000000 53.0000000000 0.6003347672 0.2350000000 -0.2350000000 0.5000000000 12.7895591147 15.1748902976 19.4109063246
1.0000000000 54.0000000000 0.6034225698 0.2300000000 -0.2300000000 0.5000000000 12.5861130498 15.0516281083 19.4956770417
1.0000000000 55.0000000000 0.6065103724 0.2250000000 -0.2250000000 0.5000000000 12.3788582456 14.9259084970 19.5822772829
1.0000000000 56.0000000000 0.6095981750 0.2200000000 -0.2200000000 0.5000000000 12.1678274872 14.7978206039 19.6705642929
1.0000000000 57.0000000000 0.6126859776 0.2150000000 -0.2150000000 0.5000000000 11.9530563559 14.6674624412 19.7603881946
1.0000000000 58.0000000000 0.6157737802 0.2100000000 -0.2100000000 0.5000000000 11.7345832711 14.5349411527 19.8515925542
1.0000000000 59.0000000000 0.6188615828 0.2050000000 -0.2050000000 0.5000000000 11.5124495293 14.4003732739 19.9440149624
1.0000000000 60.0000000000 0.6219493853 0.2000000000 -0.2000000000 0.5000000000 11.2866993416 14.2638849902 20.0374876290
1.0000000000 61.0000000000 0.6250371879 0.1950000000 -0.1950000000 0.5000000000 11.0573798701 14.1256123926 20.1318379865
1.0000000000 62.0000000000 0.6281249905 0.1900000000 -0.1900000000 0.5000000000 10.8245412649 13.9857017308 20.2268892976
1.0000000000 63.0000000000 0.6312127931 0.1850000000 -0.1850000000 0.5000000000 10.5882367000 13.8443096596 20.3224612654
1.0000000000 64.0000000000 0.6343005957 0.1800000000 -0.1800000000 0.5000000000 10.3485224116 13.7016034788 20.4183706406
1.0000000000 65.0000000000 0.6373883983 0.1750000000 -0.1750000000 0.5000000000 10.1054577389 13.5577613625 20.5144318250
1.0000000000 66.0000000000 0.6404762009 0.1700000000 -0.1700000000 0.5000000000 9.8591051691 13.4129725746 20.6104574667
1.0000000000 67.0000000000 0.6435640035 0.1650000000 -0.1650000000 0.5000000000 9.6095303876 13.2674376675 20.7062590459
