# x_path held_b1_THz held_b2_THz held_b3_THz
9.4204345643 6.4695508163 13.8698132113 13.8698132113
9.4583801577 6.5845292273 13.9696705329 13.9696705329
9.4963257511 6.7407998626 14.0667296387 14.0667296387
9.5342713445 6.9348812566 14.1609878744 14.1609878744
9.5722169379 7.1627819056 14.2524446598 14.2524446598
9.6101625313 7.4202635808 14.3411014102 14.3411014102
9.6481081247 7.7030580965 14.4269614506 14.4269614506
9.6860537180 8.0070259532 14.5100299237 14.5100299237
9.7239993114 8.3282588589 14.5903136915 14.5903136915
9.7619449048 8.6631357070 14.6678212320 14.6678212320
9.7998904982 9.0083440490 14.7425625300 14.7425625300
9.8378360916 9.3608783773 14.8145489635 14.8145489635
9.8757816850 9.7180243553 14.8837931855 14.8837931855
9.9137272784 10.0773356666 14.9503090025 14.9503090025
9.9516728718 10.4366079737 15.0141112494 15.0141112494
9.9896184652 10.7938527904 15.0752156613 15.0752156613
10.0275640586 11.1472728678 15.1336387439 15.1336387439
10.0655096520 11.4952398947 15.1893976419 15.1893976419
10.1034552454 11.8362748077 15.2425100058 15.2425100058
10.1414008388 12.1690307101 15.2929938595 15.2929938595
10.1793464322 12.4922782349 15.3408674674 15.3408674674
10.2172920256 12.8048931121 15.3861492018 15.3861492018
10.2552376190 13.1058456742 15.4288574129 15.4288574129
10.2931832123 13.3941920386 15.4690103001 15.4690103001
10.3311288057 13.6690667229 15.5066257861 15.5066257861
10.3690743991 13.9296764755 15.5417213944 15.5417213944
10.4070199925 14.1752951328 15.5743141306 15.5743141306
10.4449655859 14.4052593380 15.6044203687 15.6044203687
10.4829111793 14.6189649827 15.6320557412 15.6320557412
10.5208567727 14.8158642556 15.6572350364 15.6572350364
10.5588023661 14.9954631971 15.6799721008 15.6799721008
10.5967479595 15.1573196804 15.7002797486 15.7002797486
10.6346935529 15.3010417482 15.7181696779 15.7181696779
10.6726391463 15.4262862507 15.7336523950 15.7336523950
10.7105847397 15.5327577363 15.7467371462 15.7467371462
10.7485303331 15.6202075580 15.7574318585 15.7574318585
10.7864759265 15.6884331649 15.7657430880 15.7657430880
10.8244215199 15.7372775525 15.7716759782 15.7716759782
10.8623671133 15.7666288545 15.7752342266 15.7752342266
10.9003127067 15.7764200613 15.7764200613 15.7764200613
