atom,label,frac_x,frac_y,frac_z,x_ang,y_ang,z_ang,starting_magnetization,theta_deg,phi_deg,spin_x,spin_y,spin_z
21,A21,0.0152752688,0.2895068824,0.2586525083,0.15580773884647162,2.9529701452609047,2.6382555353259134,0.35,62.6767545934,96.6211606327,-0.03585388561618745,0.3088769135182471,0.16065351282079893
22,A22,0.2442821711,0.255183965,0.2312075645,2.49167809862684,2.6028763943274864,2.358317113800625,0.35,155.0864570587,234.5353183868,-0.08554342624166625,-0.12008396700363136,-0.3174305642113049
23,A23,0.5213389397,0.2782234848,0.2769510448,5.317657085502417,2.8378794918930432,2.8249006041357423,0.35,35.8955484455,29.0577268226,0.1793788939425087,0.09966773537066444,0.2835305185232189
24,A24,0.7268441916,0.2515788376,0.2448546886,7.413810615685374,2.56610409553511,2.497517777017641,0.35,26.850188844,356.7576959816,0.1578276896202158,-0.008940838053851145,0.3122666837881359
25,A25,0.0282739289,0.5216017365,0.225295797,0.28839406938717216,5.320337612812293,2.298017086428206,0.35,119.8396953233,330.7146091443,0.2647957749097272,-0.1485076920999052,-0.17415126464403524
26,A26,0.2879066765,0.4960257709,0.2225958854,2.93664804538612,5.0594627685705245,2.2704779886231736,0.35,58.6290042124,198.5293015374,-0.28334381865962377,-0.09496667013413261,0.18220211851407508
27,A27,0.5150741339,0.5045982599,0.2613165379,5.253756067537335,5.14690215473545,2.66542863673779,0.35,139.6956624269,349.9558734596,0.22292681342841592,-0.03948506183808302,-0.2669167768168479
28,A28,0.7162413001,0.4734376967,0.2058668882,7.305661124407715,4.829064416038861,2.099842220373979,0.35,122.2635674099,176.3425802712,-0.2953577215890414,0.018879519918157398,-0.18683516806369774
29,A29,0.9815729838,0.7244096398,0.217168659,10.012044247539677,7.388978187789727,2.215120280378336,0.35,88.5646111067,180.6653335445,-0.34986658283574895,-0.004062924689291235,0.008767374624433319
30,A30,0.2729362249,0.7821980715,0.2762030065,2.7839494419215094,7.978420180107451,2.81727061361842,0.35,67.7757154653,122.5129034598,-0.1741458694031996,0.2732184562617725,0.13238161249863076
31,A31,0.5060744882,0.7366246581,0.2777330279,5.161959683113882,7.513571372119896,2.832876831606591,0.35,17.3881051045,160.0244091132,-0.09830232294569081,0.03573170031314968,0.3340058366199794
32,A32,0.7138005495,0.6923479438,0.2327754945,7.280765468753253,7.061948894705015,2.374309999501566,0.35,109.8163413861,72.1766699817,0.10078530003019105,0.31347086180508305,-0.1186521896005416
33,A33,0.9550581202,0.9626035541,0.5036779642,9.74159264387699,9.818556068217811,5.137515138770984,0.35,112.6443452642,148.3878845478,-0.2750885076593123,0.16931577367982634,-0.1347534108546952
34,A34,0.2438237816,0.0193513241,0.4629993737,2.487002525814271,0.1973835021290252,4.722593523429814,0.35,140.1575990289,2.0284841524,0.22409681117923383,0.007937178881908612,-0.26873336303982687
35,A35,0.5342671871,0.0115843574,0.5067338943,5.449525206516548,0.11816044327045759,5.168685625208111,0.35,48.9416503796,223.3420007078,-0.1919369585516905,-0.1811380681327129,0.2298895478595651
36,A36,0.7502297759,0.9902860168,0.5068132877,7.6523435710849235,10.100917182477795,5.169495437872968,0.35,55.4008180551,52.2082636719,0.17654603487210063,0.22766957206230157,0.1987411973595497
37,A37,0.9759542048,0.2949998975,0.4821253717,9.954732702811373,3.0089988982331946,4.917678699381818,0.35,120.213350625,210.140528798,-0.26156214067888217,-0.15186956157014248,-0.176127461890454
38,A38,0.2504725456,0.238833189,0.4770271778,2.554819917346119,2.4360984822461518,4.865677122574221,0.35,49.9556918779,308.2460781012,0.16586655546937484,-0.21043034749441727,0.22518293592122735
