atom,label,frac_x,frac_y,frac_z,x_ang,y_ang,z_ang,starting_magnetization,theta_deg,phi_deg,spin_x,spin_y,spin_z
26,A26,0.3821968138,0.6854375601,0.7075412869,2.9238056620189634,5.243597400133124,5.412690912261089,0.15,18.1338732565,149.4946369622,-0.04022358378897817,0.023698573257141902,0.14254978405015886
27,A27,0.605784297,0.6323285699,0.6556280255,4.634249929821832,4.8373136200382785,5.0155544576002775,0.15,34.7529070943,349.2197242546,0.08399673612022389,-0.015993267948024657,0.12324270242692734
28,A28,0.1054802611,0.1164015979,0.1681133658,0.806924007474336,0.8904722350358711,1.2860672644024673,0.15,100.3846885203,227.9386376156,-0.09884287594038509,-0.1095399854922658,-0.02703844400456209
29,A29,0.4633010328,0.1950738579,0.1977487803,3.5442529451036298,1.4923150315386087,1.512778188153708,0.15,70.4224361075,82.8841482513,0.01750718803915483,0.14023975817356293,0.05026239741976362
30,A30,0.8698354363,0.1698034853,0.2108015269,6.654241170648596,1.2989966787386489,1.6126317008885094,0.15,124.4705572432,312.8816403132,0.08415066074878468,-0.09061510794402784,-0.0848973998885427
31,A31,0.1624319553,0.5407418609,0.1698542982,1.2426044735356483,4.1366752874539285,1.2993853974284948,0.15,117.3831416647,0.1958009254,0.13319183519254266,0.0004551676638208114,-0.06899078098152221
32,A32,0.5159962773,0.499048084,0.1342280209,3.947371570554017,3.8177178901927187,1.0268443726859235,0.15,151.1430154067,259.9154411279,-0.012676246352933624,-0.07127529338577819,-0.13137406643310914
33,A33,0.8735671639,0.5333082676,0.1906677186,6.68278888714448,4.07980829800001,1.4586080654734084,0.15,86.3791894686,307.766194646,0.09168273362596983,-0.11834077717352456,0.00947295164326653
34,A34,0.1896219999,0.8506048322,0.154267922,1.4506083173186812,6.507127047449631,1.180149618012069,0.15,54.1932684367,34.4033431781,0.10037043870932472,0.06873367637040591,0.08775794417547618
35,A35,0.517727077,0.8133112788,0.16739887,3.960612188424078,6.221831360383057,1.280601371464328,0.15,124.6302046406,47.8110629283,0.08288981740943695,0.09145021048825819,-0.0852416398920356
36,A36,0.7900717854,0.8450657129,0.1680588573,6.044049233656776,6.4647527842763814,1.285650274372269,0.15,153.2161368491,79.2944006704,0.012556425181389186,0.06641742406515622,-0.13390691530766208
37,A37,0.1823334098,0.1495217532,0.489063412,1.3948506023585905,1.143841426239441,3.7413351484405104,0.15,62.6168583353,180.1958009254,-0.13319183519254266,-0.0004551676638207674,0.0689907809815222
38,A38,0.4907279611,0.1525525898,0.4898987412,3.7540689492142536,1.1670273265184827,3.747725416900173,0.15,116.4107701692,6.5729822958,0.13346116035722105,0.015378210746264743,-0.06672053140036877
39,A39,0.8342718482,0.1983579248,0.4693304598,6.3821797182920035,1.5174381436368003,3.5903780622286376,0.15,35.9055889396,59.069491689,0.04521523113714225,0.07545793582084222,0.12149766580009863
40,A40,0.1577650756,0.5230321884,0.5484732985,1.206902843385582,4.001196291140011,4.195820785831254,0.15,140.2689572582,329.3929225766,0.08251992570697633,-0.04881590734434858,-0.11535800384656056
41,A41,0.4794628918,0.4770078361,0.5245459676,3.6678911679949375,3.6491099916558065,4.012776702164376,0.15,106.8880231395,88.1887024627,0.004536709666185266,0.14345943382720974,-0.04357532686488041
42,A42,0.883462429,0.5106596947,0.4951419234,6.758487666103162,3.9065467131550835,3.7878357612302,0.15,113.3617610873,267.564866553,-0.0058507633464042795,-0.13757857071687316,-0.05948029461734959
43,A43,0.1717148125,0.8089923263,0.4814397991,1.3136183320009265,6.188791373346171,3.6830145090284696,0.15,82.040461111,347.5397874382,0.1450558636850643,-0.032052446331966127,0.020771063880227213
44,A44,0.4673382342,0.8751134276,0.4968859255,3.5751375361986453,6.694617804596942,3.80117737746152,0.15,105.6750094858,74.5108679023,0.03856855602701975,0.13917622771302632,-0.040527078917218747
45,A45,0.812631309,0.8083372712,0.5048599839,6.216629591348211,6.1837802017687,3.862178924981982,0.15,92.4899514349,155.5647537253,-0.13643546782434882,0.0619911018262838,-0.006516625960909042
46,A46,0.1966886818,0.1459566802,0.8461316824,1.5046684345276093,1.1165686174494507,6.47290745105304,0.15,124.7782332291,106.6809611891,-0.03536500763908785,0.11802017761748694,-0.08556023556433266
47,A47,0.5394301414,0.1514549404,0.8480672836,4.126640633153834,1.1586303085038032,6.487714800417633,0.15,55.3697953594,227.8110629283,-0.08288981740943695,-0.09145021048825817,0.08524163989203562
48,A48,0.8427698016,0.1759640872,0.8570690155,6.447189062612428,1.3461252838611673,6.556578050311101,0.15,63.5892298308,186.5729822958,-0.13346116035722105,-0.015378210746264703,0.06672053140036875
49,A49,0.1498505622,0.4729842246,0.8310331106,1.1463568151207986,3.6183293632970868,6.357403375343134,0.15,122.0405760132,126.4015597679,-0.07545652587271935,0.10234090888648298,-0.0795779559394951
50,A50,0.5271360278,0.4295341671,0.8730752468,4.032590662941382,3.285936419278385,6.679025721282567,0.15,137.6618405753,45.1515297476,0.07124681322952456,0.07162466531114753,-0.11087740492861178
51,A51,0.853505671,0.4809220433,0.7911081314,6.529318464546275,3.6790536771090925,6.051977280655609,0.15,73.1119768605,268.1887024627,-0.004536709666185283,-0.14345943382720974,0.04357532686488042
52,A52,0.1528200656,0.8446745276,0.8184604049,1.1690735164139912,6.461760216694075,6.261222175539114,0.15,136.3647262237,162.1882809171,-0.09854823626337864,0.031662613197044595,-0.10856207466197225
53,A53,0.5492984653,0.8696061969,0.8189232945,4.202133311929947,6.652487489216734,6.264763281023258,0.15,87.5100485651,335.5647537253,0.13643546782434882,-0.06199110182628375,0.0065166259609090605
54,A54,0.7968950272,0.8169899583,0.8263716102,6.096247034077488,6.249973258908882,6.321742896838582,0.15,108.7723327112,190.7899865498,-0.1395097865399063,-0.02658764689242633,-0.04827128020172481
